id,action_sequence,first_action_rb,ai_assistance
a5z4t,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-4129-4129-4306-104-13853-102-642-1433-709-1076-621-4129-867-3382-694-775-1243-2736-104-609-1433-709-25824-613-4129-867-3382-102-603-822-604-603-1433-610-775-1243-2736-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-4129-4129-4306,['603'],G=G005|TAG=RB4|P=HIGH|COUNT=1166|REP=ldjdp|A=603|ABA=0|Buniq=0
a65be,1076-658-3316-12516-5451-105-4187-105-3115-822-12516-5451-105-775-105-1159,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
a6pvn,609-2187-6136-610-883-606-2795-607-603-1743-604-164-17762-2613-102-2953-102-605-709-15581-620-603-822-604-867-102-867-104,"['102', '867']",G=G035|TAG=ANCHOR_LOOP|P=HIGH|COUNT=42|REP=fm4h7|A=102|ABA=2|Buniq=2
a6s7s,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-4004-111-3115-104-13853-102-642-1433-709-1076-621-4347-907-1195-694-114-107-4046-104-609-1433-709-25824-613-4347-907-1195-102-603-822-604-603-1433-610-114-107-4046-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-4004-111-3115,['603'],G=G005|TAG=RB4|P=HIGH|COUNT=1166|REP=ldjdp|A=603|ABA=0|Buniq=0
a6s96,109-105-111-105-15342-1104-735-109-105-1244-105-21040-977,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
a6tyw,1353-105-775-105-15342-1068-735-1012-105-113-105-21040-1059,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
a6zch,2791-10140-3133-613-10477-697-4507-3115-117-603-659-14548-610-883-611-3362-701-605-3362-1027-1777-104,['3362'],G=G094|TAG=RB4|P=HIGH|COUNT=3|REP=v522h|A=3362|ABA=0|Buniq=0
a7250,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-4425-107-2224-104-13853-102-642-1433-709-1076-621-4425-1244-4350-694-775-110-4899-104-609-1433-709-25824-613-4425-1244-4350-102-603-822-604-603-1433-610-775-110-4899-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-4425-107-2224,['603'],G=G005|TAG=RB4|P=HIGH|COUNT=1166|REP=ldjdp|A=603|ABA=0|Buniq=0
a798z,867-105-1127-105-21040-1045-735-111-105-907-105-868,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
a82b6,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-929-1159-1195-104-13853-102-642-1433-709-1076-621-4004-907-4556-694-111-1126-4766-104-609-1433-709-25824-613-4004-907-4556-102-603-822-604-603-1433-610-111-1126-4766-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-929-1159-1195,['603'],G=G005|TAG=RB4|P=HIGH|COUNT=1166|REP=ldjdp|A=603|ABA=0|Buniq=0
a8o1o,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-4275-1072-2736-104-13853-102-642-1433-709-1076-621-4275-1126-4004-694-113-110-907-104-609-1433-709-25824-613-4275-1126-4004-102-603-822-604-603-1433-610-113-110-907-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-4275-1072-2736,['603'],G=G005|TAG=RB4|P=HIGH|COUNT=1166|REP=ldjdp|A=603|ABA=0|Buniq=0
a8qwo,905-105-775-105-21606-975-735-992-105-4507-105-1004,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
a8qyp,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-4425-109-4731-104-13853-102-642-1433-709-1076-621-110-4491-4942-694-110-115-1126-104-609-1433-709-25824-613-110-4491-4942-102-603-822-604-603-1433-610-110-115-1126-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-4425-109-4731,['603'],G=G005|TAG=RB4|P=HIGH|COUNT=1166|REP=ldjdp|A=603|ABA=0|Buniq=0
a8z3b,1076-658-3316-10477-697-105-1072-105-4306-822-164-889-105-929-105-4787,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
a92cn,1076-658-3316-760-1165-105-1244-105-4037-822-12516-5451-4521-2669-105-1159-105-1351,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
a9jer,685-1464-105-110-105-20278-975-103-7943-105-1243-105-15881-995,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
a9xsa,867-105-905-105-15881-1080-103-929-105-1195-105-21355-1059,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
aa6od,1076-658-3316-164-889-105-1127-105-2664-822-10477-697-105-1265-105-2640,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
aa9dq,26738-613-108-1042-4840-117-603-2137-8355-610-2913-701-605-2913-975-1777-104,['2913'],G=G045|TAG=RB4|P=HIGH|COUNT=7|REP=mt3m1|A=2913|ABA=0|Buniq=0
ab2hd,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-775-906-2640-104-13853-102-642-1433-709-1076-621-867-4425-906-694-929-906-3231-104-609-1433-709-25824-613-867-4425-906-102-603-822-604-603-1433-610-929-906-3231-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-775-906-2640,"['603', '906']",G=G046|TAG=RB4|P=HIGH|COUNT=7|REP=fu6yb|A=906|ABA=0|Buniq=0
abk2c,7943-105-112-105-17980-1080-103-760-1165-105-110-105-17980-1104,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
abkqt,685-1464-105-1265-105-4942-694-836-105-992-105-3362,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
absau,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-4425-1012-906-104-13853-102-642-1433-709-1076-621-113-867-1455-694-107-905-1353-104-609-1433-709-25824-613-113-867-1455-102-603-822-604-603-1433-610-107-905-1353-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-4425-1012-906,['603'],G=G005|TAG=RB4|P=HIGH|COUNT=1166|REP=ldjdp|A=603|ABA=0|Buniq=0
ad1kj,929-105-976-105-15342-1104-103-4347-105-1455-105-21606-1071,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
adani,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-4491-907-4615-104-13853-102-642-1433-709-1076-621-929-4425-4692-694-114-111-115-104-609-1433-709-25824-613-929-4425-4692-102-603-822-604-603-1433-610-114-111-115-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-4491-907-4615,['603'],G=G005|TAG=RB4|P=HIGH|COUNT=1166|REP=ldjdp|A=603|ABA=0|Buniq=0
adut3,905-105-775-105-10795-735-1455-105-4507-105-15881-1045,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
adwcc,685-1464-105-1072-105-1195-694-10477-697-105-1455-105-5032,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
ae0er,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-4425-867-1127-104-13853-102-642-1433-709-1076-621-108-989-3493-694-108-1126-2578-104-609-1433-709-25824-613-108-989-3493-102-603-822-604-603-1433-610-108-1126-2578-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-4425-867-1127,['603'],G=G005|TAG=RB4|P=HIGH|COUNT=1166|REP=ldjdp|A=603|ABA=0|Buniq=0
ae1ol,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-4347-4129-2883-104-13853-102-642-1433-709-1076-621-775-979-4465-694-112-775-867-104-609-1433-709-25824-613-775-979-4465-102-603-822-604-603-1433-610-112-775-867-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-4347-4129-2883,['603'],G=G005|TAG=RB4|P=HIGH|COUNT=1166|REP=ldjdp|A=603|ABA=0|Buniq=0
ae48v,4347-105-1195-105-21355-1059-103-111-105-4037-105-833,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
aechi,1076-658-3316-12516-5451-4521-2669-105-989-105-4615-822-760-1593-8615-105-113-105-3115,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
aejjo,1076-658-3316-760-1165-105-906-105-1469-822-10477-697-105-4491-105-4942,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
aexwu,609-1433-21169-610-1128-621-164-8038-929-4692-606-929-110-4385-104-630-1192-604-13308-102-695-709-4194-3231-1104-1052-606-603-1009-15638-104,['929'],G=G013|TAG=RB4|P=HIGH|COUNT=32|REP=wxccz|A=929|ABA=0|Buniq=0
af5yh,7943-105-992-105-4840-694-685-1464-105-114-105-4167,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
afaxn,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-867-4347-3387-104-13853-102-642-1433-709-1076-621-929-1195-4187-694-115-907-2913-104-609-1433-709-25824-613-929-1195-4187-102-603-822-604-603-1433-610-115-907-2913-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-867-4347-3387,['603'],G=G005|TAG=RB4|P=HIGH|COUNT=1166|REP=ldjdp|A=603|ABA=0|Buniq=0
afh4s,630-15030-1693-613-836-4425-4425-117-603-1433-709-814-611-3835-701-605-3835-1777-104,['3835'],G=G028|TAG=RB4|P=HIGH|COUNT=1|REP=afh4s|A=3835|ABA=0|Buniq=0
afwr1,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-4187-112-1126-104-13853-102-642-1433-709-1076-621-929-4491-3387-694-108-112-4350-104-609-1433-709-25824-613-929-4491-3387-102-603-822-604-603-1433-610-108-112-4350-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-4187-112-1126,['603'],G=G005|TAG=RB4|P=HIGH|COUNT=1166|REP=ldjdp|A=603|ABA=0|Buniq=0
ag9qn,1076-658-3316-685-2207-8615-105-1195-105-4073-822-836-105-1353-105-2602,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
agyir,7943-105-1455-105-15342-1068-103-685-1464-105-1042-105-15881-1059,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
ah5t7,867-105-4275-105-881-103-109-105-905-105-20022-1071,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
aharm,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-4004-114-4581-104-13853-102-642-1433-709-1076-621-775-775-2032-694-107-111-1353-104-609-1433-709-25824-613-775-775-2032-102-603-822-604-603-1433-610-107-111-1353-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-4004-114-4581,['603'],G=G005|TAG=RB4|P=HIGH|COUNT=1166|REP=ldjdp|A=603|ABA=0|Buniq=0
ahcag,760-1593-8615-105-4347-105-21355-1027-103-836-105-775-105-21606-1104,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
ahvaz,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-929-907-907-104-13853-102-642-1433-709-1076-621-109-1159-4046-694-115-108-1072-104-609-1433-709-25824-613-109-1159-4046-102-603-822-604-603-1433-610-115-108-1072-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-929-907-907,['603'],G=G005|TAG=RB4|P=HIGH|COUNT=1166|REP=ldjdp|A=603|ABA=0|Buniq=0
ahwvm,685-1464-105-4187-105-1072-694-685-2207-8615-105-1265-105-4731,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
ai7vq,1072-105-4004-105-868-735-1195-105-108-105-21355-1071,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
aicho,1076-658-3316-12516-5451-4521-2669-105-775-105-4539-822-760-1593-8615-105-775-105-976,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
aiwdb,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-109-906-4615-104-13853-102-642-1433-709-1076-621-109-906-4486-694-775-1265-4046-104-609-1433-709-25824-613-109-906-4486-102-603-822-604-603-1433-610-775-1265-4046-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-109-906-4615,['603'],G=G005|TAG=RB4|P=HIGH|COUNT=1166|REP=ldjdp|A=603|ABA=0|Buniq=0
aj6hq,867-105-1243-105-1016-735-109-105-1159-105-21040-1104,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
ajekw,979-105-4037-105-15342-975-735-1195-105-4004-105-15881-977,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
ajmld,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-4004-113-4706-104-13853-102-642-1433-709-1076-621-4425-979-2408-694-107-1195-775-104-609-1433-709-25824-613-4425-979-2408-102-603-822-604-603-1433-610-107-1195-775-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-4004-113-4706,['603'],G=G005|TAG=RB4|P=HIGH|COUNT=1166|REP=ldjdp|A=603|ABA=0|Buniq=0
ajwb8,4347-105-929-105-21355-1059-103-111-105-979-105-21040-995,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
ak4sg,867-105-976-105-21040-1045-103-929-105-1455-105-15881-995,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
ak5t9,23070-681-606-1338-607-603-1743-604-775-102-775-102-603-7179-709-6532-606-603-822-604-4347-102-4089-104,"['102', '775']",G=G026|TAG=ANCHOR_LOOP|P=HIGH|COUNT=5|REP=hav8u|A=775|ABA=2|Buniq=2
akyvr,867-105-112-105-20022-995-735-111-105-4491-105-20278-1071,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
al0dp,4491-105-1244-105-20022-1104-103-109-105-1159-105-21040-995,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
al7io,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-109-979-2125-104-13853-102-642-1433-709-1076-621-775-114-906-694-108-1243-1126-104-609-1433-709-25824-613-775-114-906-102-603-822-604-603-1433-610-108-1243-1126-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-109-979-2125,['603'],G=G005|TAG=RB4|P=HIGH|COUNT=1166|REP=ldjdp|A=603|ABA=0|Buniq=0
alabp,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-867-113-1265-104-13853-102-642-1433-709-1076-621-110-907-2736-694-114-1126-3562-104-609-1433-709-25824-613-110-907-2736-102-603-822-604-603-1433-610-114-1126-3562-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-867-113-1265,['603'],G=G005|TAG=RB4|P=HIGH|COUNT=1166|REP=ldjdp|A=603|ABA=0|Buniq=0
am9k5,622-97-173-1471-115-10686-903-115-117-603-1465-608-908-4729-1308-5032-701-1903-102-605-709-2646-12383-1045-1052-724,['115'],G=G007|TAG=RB4|P=HIGH|COUNT=20|REP=cg3s0|A=115|ABA=0|Buniq=0
amfaz,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-109-1012-2883-104-13853-102-642-1433-709-1076-621-114-1072-5032-694-109-907-2088-104-609-1433-709-25824-613-114-1072-5032-102-603-822-604-603-1433-610-109-907-2088-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-109-1012-2883,['603'],G=G005|TAG=RB4|P=HIGH|COUNT=1166|REP=ldjdp|A=603|ABA=0|Buniq=0
amhwp,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-4347-929-4311-104-13853-102-642-1433-709-1076-621-4425-907-1243-694-109-907-2224-104-609-1433-709-25824-613-4425-907-1243-102-603-822-604-603-1433-610-109-907-2224-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-4347-929-4311,['603'],G=G005|TAG=RB4|P=HIGH|COUNT=1166|REP=ldjdp|A=603|ABA=0|Buniq=0
amtju,989-105-4037-105-20022-1027-735-1042-105-4004-105-10795,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
an8gb,1076-658-3316-760-1165-105-4275-105-4073-822-164-889-105-1127-105-3115,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
anpd3,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-4129-110-5032-104-13853-102-642-1433-709-1076-621-775-1243-4073-694-113-113-4359-104-609-1433-709-25824-613-775-1243-4073-102-603-822-604-603-1433-610-113-113-4359-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-4129-110-5032,['603'],G=G005|TAG=RB4|P=HIGH|COUNT=1166|REP=ldjdp|A=603|ABA=0|Buniq=0
ants0,867-105-4425-105-21606-995-735-867-105-906-105-20278-1104,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
anwo9,1076-658-3316-12516-1143-105-1265-105-4603-822-164-889-105-867-105-2408,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
ao43t,4347-105-1243-105-21606-977-103-867-105-1265-105-21606-975,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
ao6u7,1076-658-3316-760-1593-8615-105-992-105-3387-822-760-1593-8615-105-905-105-1353,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
aodwc,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-4037-1072-1265-104-13853-102-642-1433-709-1076-621-4037-111-2032-694-109-1195-1353-104-609-1433-709-25824-613-4037-111-2032-102-603-822-604-603-1433-610-109-1195-1353-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-4037-1072-1265,['603'],G=G005|TAG=RB4|P=HIGH|COUNT=1166|REP=ldjdp|A=603|ABA=0|Buniq=0
aoja8,1076-658-3316-760-1593-8615-105-1353-105-1042-822-12516-5451-4521-2669-105-4004-105-4046,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
aoqom,905-105-113-105-21606-1068-735-1265-105-4507-105-15342-1104,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
apapb,1012-105-4037-105-20278-1027-735-905-105-775-105-20022-1027,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
